Date,Open,High,Low,Close,Adj Close,Volume
2012-10-22,134.0,134.85000610351562,133.0,133.0,125.07918548583984,1416
2012-10-23,133.0,136.39999389648438,132.0500030517578,132.0500030517578,124.1857681274414,194
2012-10-25,129.3000030517578,136.0500030517578,129.0500030517578,136.0,127.90052795410156,20354
2012-10-29,131.9499969482422,131.9499969482422,131.5,131.89999389648438,124.04470825195312,183
2012-10-30,132.0,133.0,130.14999389648438,130.39999389648438,122.63402557373047,506
2012-10-31,130.25,136.0,130.25,132.0,124.13874816894531,22949
2012-11-01,130.9499969482422,133.9499969482422,130.3000030517578,130.5,122.72807312011719,597
2012-11-02,131.3000030517578,134.5500030517578,131.3000030517578,131.3000030517578,123.48043823242188,278
2012-11-05,134.89999389648438,134.89999389648438,134.0,134.0,126.01964569091797,2
2012-11-06,132.0,132.0,130.60000610351562,130.60000610351562,122.82212829589844,307
2012-11-07,134.0,134.0,132.0,132.0,124.13874816894531,18
2012-11-08,130.5,130.5,130.0500030517578,130.3000030517578,122.53999328613281,80
2012-11-09,130.3000030517578,134.9499969482422,130.0,130.3000030517578,122.53999328613281,462
2012-11-12,143.0,143.0,130.0,130.0,122.25785827636719,251
2012-11-15,134.0,134.0,130.39999389648438,132.5500030517578,124.6559829711914,222
2012-11-16,131.0,134.89999389648438,127.5999984741211,130.9499969482422,123.15128326416016,887
2012-11-19,130.39999389648438,134.0,129.25,131.8000030517578,123.95065307617188,207
2012-11-20,130.39999389648438,133.9499969482422,129.25,129.6999969482422,121.97572326660156,1026
2012-11-21,130.0,130.0,129.25,129.35000610351562,121.64657592773438,138
2012-11-22,129.35000610351562,129.75,129.3000030517578,129.5,121.78764343261719,2065
2012-11-23,129.0,130.1999969482422,129.0,129.64999389648438,121.92868041992188,60
2012-11-26,129.0,132.0,129.0,129.0,121.31741333007812,1985
2012-11-27,131.0,131.0,129.0,129.0,121.31741333007812,783
2012-11-29,129.6999969482422,131.5,128.75,130.0500030517578,122.30487823486328,329
2012-11-30,129.10000610351562,130.5,128.0,129.0,121.31741333007812,2150
2012-12-03,128.35000610351562,135.85000610351562,128.25,134.10000610351562,126.11368560791016,710
2012-12-04,133.0,134.10000610351562,130.3000030517578,131.6999969482422,123.85662078857422,559
2012-12-05,130.0500030517578,140.1999969482422,130.0500030517578,138.6999969482422,130.43972778320312,1519
2012-12-06,136.0,138.0,130.25,135.35000610351562,127.28924560546875,1262
2012-12-07,135.35000610351562,138.5,130.60000610351562,134.1999969482422,126.20771789550781,372
2012-12-10,134.0,140.9499969482422,131.75,138.3000030517578,130.0635528564453,1407
2012-12-11,138.0,139.5,134.5,135.3000030517578,127.24221801757812,1826
2012-12-12,133.5,138.6999969482422,133.5,135.5,127.43030548095703,1325
2012-12-13,134.0,134.0,132.0,132.60000610351562,124.70301055908203,7
2012-12-14,132.0,136.0,132.0,133.0,125.07918548583984,846
2012-12-17,137.0,139.75,131.5,138.0500030517578,129.8284454345703,1555
2012-12-18,135.0,139.5,132.25,133.0500030517578,125.12620544433594,414
2012-12-19,134.0,134.25,132.14999389648438,133.0,125.07918548583984,481
2012-12-20,133.0,134.89999389648438,132.25,132.39999389648438,124.51493072509766,506
2012-12-21,130.5500030517578,136.5,130.35000610351562,134.0,126.01964569091797,658
2012-12-24,131.5,133.89999389648438,131.10000610351562,131.9499969482422,124.09171295166016,156
2012-12-26,134.0,134.0,131.10000610351562,131.6999969482422,123.85662078857422,76
2012-12-27,131.25,133.0,130.60000610351562,130.6999969482422,122.91614532470703,1889
2012-12-28,132.25,133.0,130.6999969482422,131.0,123.19831085205078,2739
2012-12-31,133.0,135.0,132.0,135.0,126.9600830078125,312
2013-01-01,135.0,143.89999389648438,135.0,137.3000030517578,129.12310791015625,2918
2013-01-02,139.0,143.89999389648438,136.6999969482422,137.0,128.84097290039062,781
2013-01-03,137.0,140.89999389648438,136.6999969482422,136.8000030517578,128.65286254882812,291
2013-01-04,136.75,142.5,136.6999969482422,140.5500030517578,132.1795654296875,1903
2013-01-07,142.5,142.5,137.5,138.60000610351562,130.34568786621094,2372
2013-01-08,138.89999389648438,138.89999389648438,135.35000610351562,135.35000610351562,127.28924560546875,778
2013-01-09,134.10000610351562,138.89999389648438,134.10000610351562,135.35000610351562,127.28924560546875,35
2013-01-10,135.0,138.0,134.0,136.0,127.90052795410156,305
2013-01-11,133.89999389648438,135.4499969482422,133.89999389648438,134.25,126.2547607421875,1072
2013-01-14,133.0,136.0,132.0,135.89999389648438,127.80648803710938,38762
2013-01-15,138.6999969482422,138.6999969482422,132.0,133.4499969482422,125.50239562988281,680
2013-01-16,133.0,135.10000610351562,132.0500030517578,134.5,126.4898681640625,5660
2013-01-17,133.1999969482422,134.0,133.0,133.14999389648438,125.22024536132812,1918
2013-01-18,131.10000610351562,133.0,131.10000610351562,132.1999969482422,124.32682800292969,1780
2013-01-21,132.0,134.0,131.0,131.85000610351562,123.9976806640625,1835
2013-01-22,135.0,135.0,132.0,132.5500030517578,124.6559829711914,243
2013-01-23,135.0,135.0,132.0500030517578,134.9499969482422,126.91307067871094,489
2013-01-24,135.0,135.0,131.6999969482422,131.8000030517578,123.95065307617188,1336
2013-01-25,131.6999969482422,134.89999389648438,131.64999389648438,131.75,123.90363311767578,775
2013-01-28,132.0,133.6999969482422,129.5,130.85000610351562,123.05723571777344,550
2013-01-29,130.85000610351562,131.0,130.3000030517578,130.3000030517578,122.53999328613281,301
2013-01-30,135.0,135.0,129.89999389648438,130.25,122.49296569824219,1005
2013-01-31,130.4499969482422,131.0,130.3000030517578,131.0,123.19831085205078,442
2013-02-01,133.0,133.0,133.0,133.0,125.07918548583984,1
2013-02-04,130.25,134.9499969482422,129.5,129.5500030517578,121.83465576171875,1641
2013-02-05,130.0,130.0,128.3000030517578,129.25,121.55252075195312,339
2013-02-06,130.0,130.0,128.25,128.25,120.6120834350586,315
2013-02-07,133.0,133.0,128.25,128.25,120.6120834350586,202
2013-02-08,129.25,132.89999389648438,129.0,129.1999969482422,121.5054931640625,158
2013-02-11,134.89999389648438,134.89999389648438,128.25,131.39999389648438,123.5744857788086,603
2013-02-12,129.5,129.5,123.1500015258789,123.8499984741211,116.47411346435547,485
2013-02-13,123.3499984741211,125.94999694824219,123.30000305175781,123.44999694824219,116.09793853759766,3070
2013-02-14,127.0,127.0,121.55000305175781,121.55000305175781,114.31110382080078,1832
2013-02-15,122.30000305175781,128.5,122.30000305175781,124.5,117.08541107177734,1534
2013-02-18,125.05000305175781,125.05000305175781,119.19999694824219,119.6500015258789,112.52425384521484,1755
2013-02-19,121.5999984741211,126.0,117.5999984741211,121.94999694824219,114.6872787475586,169
2013-02-20,124.0,128.0,119.05000305175781,124.75,117.32052612304688,104
2013-02-21,126.0,126.0,119.0999984741211,120.30000305175781,113.13552856445312,286
2013-02-22,123.9000015258789,124.0,119.0,119.1500015258789,112.05402374267578,106
2013-02-25,119.0,124.0,118.0,118.25,111.20762634277344,358
2013-02-26,117.30000305175781,123.0,117.0,117.0,110.03206634521484,251
2013-02-27,119.9000015258789,124.0,115.94999694824219,123.6500015258789,116.2860336303711,171
2013-02-28,120.0,120.9000015258789,114.69999694824219,117.4000015258789,110.40825653076172,1340
2013-03-01,121.0,122.5,115.0999984741211,121.0999984741211,113.88788604736328,630
2013-03-04,116.0,120.5,115.0,116.0,109.09162902832031,426
2013-03-05,115.5,119.44999694824219,112.05000305175781,119.44999694824219,112.3361587524414,1208
2013-03-06,115.0,120.0,115.0,115.0,108.15117645263672,216
2013-03-07,114.0,120.0,114.0,115.0,108.15117645263672,527
2013-03-08,113.0,117.94999694824219,112.0999984741211,116.94999694824219,109.98504638671875,92
2013-03-11,120.0,122.0,115.25,115.25,108.38629150390625,262
2013-03-12,115.0,119.8499984741211,113.55000305175781,114.19999694824219,107.3988265991211,1132
2013-03-13,115.0,117.6500015258789,112.25,113.05000305175781,106.31732177734375,253
2013-03-14,114.0,114.0,111.69999694824219,111.80000305175781,105.1417465209961,798
2013-03-15,119.8499984741211,119.8499984741211,110.44999694824219,114.80000305175781,107.96308898925781,1871
2013-03-18,115.0,115.0,106.5,107.9000015258789,101.4740219116211,2451
2013-03-19,107.5,113.30000305175781,98.0,101.1500015258789,95.12602233886719,3924
2013-03-20,97.0,108.0,97.0,98.5,92.63382720947266,624
2013-03-21,97.0,101.0,96.55000305175781,96.5999984741211,90.84698486328125,1122
2013-03-22,93.0,100.5,93.0,96.0,90.28273010253906,128
2013-03-25,96.0,104.0,95.0,99.44999694824219,93.52725982666016,964
2013-03-26,103.0,103.9000015258789,95.0,95.05000305175781,89.3893051147461,735
2013-03-28,96.0,99.30000305175781,92.94999694824219,96.3499984741211,90.61189270019531,151
2013-04-01,104.69999694824219,106.5,96.0999984741211,98.80000305175781,92.91596984863281,72
2013-04-02,96.30000305175781,110.5,96.25,107.6500015258789,101.2389144897461,1712
2013-04-03,110.0,110.0,101.75,102.0,95.92538452148438,130
2013-04-04,99.0,114.94999694824219,96.0,111.0999984741211,104.48344421386719,573
2013-04-05,113.9000015258789,113.9000015258789,101.0,103.0,96.86583709716797,62
2013-04-08,104.94999694824219,104.94999694824219,100.0,100.0,94.04450988769531,175
2013-04-09,97.1500015258789,107.69999694824219,97.0999984741211,104.3499984741211,98.13544464111328,631
2013-04-10,100.0,105.0,97.25,97.55000305175781,91.74040985107422,469
2013-04-11,96.05000305175781,102.80000305175781,96.0,97.0,91.22317504882812,2036
2013-04-12,101.9000015258789,103.0,99.5,102.94999694824219,96.81881713867188,203
2013-04-15,99.0,108.0,97.0,105.0,98.74674224853516,215
