SYMBOL
SEQUENT
RENUKA
KPIL
OPTIEMUS
NEWGEN
BALRAMCHIN
BASF
BAJAJHIND
BPCL
BBTC
WESTLIFE
PHOENIXLTD
EXIDEIND
SJVN
PRAJIND
NBCC
SUNDARMFIN
ARE&M
GRINFRA
SINDHUTRAD
RPOWER
EPL
IIFLSEC
PCBL
JCHAC
GRWRHITECH
IOC
POLYCAB
KIRLOSBROS
NLCINDIA
OIL
BALMLAWRIE
BRIGADE
MAPMYINDIA
HERITGFOOD
CHAMBLFERT
AJANTPHARM
EDELWEISS
HINDPETRO
CIPLA
GOKEX
COCHINSHIP
ZFCVINDIA
SUDARSCHEM
JSWINFRA
SBFC
COLPAL
STAR
RECLTD
DEEPAKNTR
EIHOTEL
IDEA
ABFRL
WABAG
GRANULES
PFC
INOXINDIA
SAMHI
CEATLTD
IDEAFORGE
NAUKRI
SIEMENS
SUNPHARMA
STYLAMIND
CANBK
IRB
GREENPLY
HAL
GRAVITA
KIRLOSENG
JYOTICNC
GSPL
NOCIL
NSLNISP
DIVISLAB
JIOFIN
NATCOPHARM
BOSCHLTD
EIDPARRY
DBREALTY
JTEKTINDIA
PRESTIGE
HEMIPROP
CONCOR
GOCOLORS
FUSION
GAIL
ANGELONE
NEULANDLAB
IFCI
IRCTC
LLOYDSENGG
WHIRLPOOL
LANDMARK
VEDL
TATATECH
BATAINDIA
LLOYDSME
PIDILITIND
POWERMECH
NATIONALUM
IFBIND
FLAIR
COROMANDEL
WELCORP
NAVINFLUOR
INDIASHLTR
TATAPOWER
NIITMTS
TEXRAIL
IMFA
RELIANCE
JMFINANCIL
SUMICHEM
HUDCO
REDTAPE
SWSOLAR
DHANUKA
CUMMINSIND
SOLARINDS
DOMS
ZENTEC
LUPIN
TITAN
FIEMIND
MRF
EMIL
CENTURYTEX
UPL
TEAMLEASE
GLS
BAJAJCON
ALOKINDS
OFSS
RATNAMANI
HCLTECH
HBLPOWER
DALMIASUG
EICHERMOT
PNB
HINDALCO
CHALET
BANCOINDIA
GRASIM
TVSMOTOR
INDIGO
NTPC
RAILTEL
KANSAINER
SPLPETRO
TORNTPHARM
GUJALKALI
COALINDIA
VIPIND
APTUS
JINDALSAW
JKCEMENT
GULFOILLUB
INDIAMART
KAYNES
BALKRISIND
BANKBARODA
IRCON
BHEL
GODREJAGRO
SBCL
ICICIPRULI
COFORGE
TATACHEM
APOLLOHOSP
HEG
MRPL
JUSTDIAL
BAJAJFINSV
AMBUJACEM
SRF
ATUL
KPRMILL
TEGA
GLENMARK
JAICORPLTD
ZYDUSWELL
GNFC
EMAMILTD
PTC
NFL
NHPC
DABUR
FLUOROCHEM
ASIANPAINT
TIMKEN
USHAMART
METROPOLIS
ARVINDFASN
SURYAROSNI
SYNGENE
GUJGASLTD
GMRINFRA
BDL
TORNTPOWER
LAURUSLABS
TIINDIA
UBL
AARTIPHARM
SBICARD
RCF
KIMS
IDFC
ECLERX
HINDZINC
PETRONET
YATHARTH
RVNL
ELECTCAST
MOTHERSON
MASTEK
BERGEPAINT
APLAPOLLO
ABB
TECHNOE
CROMPTON
ACE
KFINTECH
REDINGTON
JYOTHYLAB
ITDCEM
INDUSINDBK
MUTHOOTFIN
POWERINDIA
JKTYRE
RKFORGE
VOLTAS
SAIL
PIIND
DISHTV
DCBBANK
SPANDANA
TTML
MARUTI
HAVELLS
MPHASIS
ZYDUSLIFE
INDIANB
ESAFSFB
NAVA
SANGHIIND
BEL
GRINDWELL
ADANIENT
RAMCOCEM
SUNTV
HDFCLIFE
SENCO
BAYERCROP
NUVAMA
INFIBEAM
AFFLE
PERSISTENT
JLHL
DELTACORP
SULA
INFY
LATENTVIEW
EMUDHRA
SSWL
SHARDAMOTR
POLYPLEX
PATELENG
GODREJIND
MUTHOOTMF
APLLTD
CDSL
FEDERALBNK
ACI
FIVESTAR
JPPOWER
CELLO
ICIL
MSUMI
KEI
TATASTEEL
GESHIP
JUBLFOOD
NMDC
KEC
TCS
ACCELYA
TDPOWERSYS
PEL
M&M
ABBOTINDIA
DCAL
GATEWAY
VMART
BANKINDIA
MOIL
BAJAJ-AUTO
ASTERDM
SAGCEM
IPCALAB
IDFCFIRSTB
JAMNAAUTO
AARTIIND
LTF
IGL
WELSPUNLIV
TEJASNET
HINDCOPPER
ONGC
STARHEALTH
MCX
FINEORG
JISLJALEQS
BALAMINES
IDBI
DHANI
AVALON
BOMDYEING
AETHER
UCOBANK
ASTRAL
BRITANNIA
GPPL
GABRIEL
BECTORFOOD
ABCAPITAL
KARURVYSYA
HGINFRA
YESBANK
ACC
SCHAEFFLER
SARDAEN
SBIN
LEMONTREE
SONATSOFTW
INDHOTEL
CENTURYPLY
IRFC
CANFINHOME
WIPRO
DRREDDY
AZAD
TECHM
DREAMFOLKS
GICRE
ENGINERSIN
RELINFRA
CMSINFO
SHRIRAMFIN
HATHWAY
MAHLOG
RAJESHEXPO
TRIDENT
STLTECH
MANYAVAR
GHCL
SOUTHBANK
HAPPSTMNDS
EVEREADY
PGHH
DATAMATICS
BEPL
JUNIPER
CASTROLIND
CAMS
NETWEB
MMTC
SPARC
AXISBANK
INDIAGLYCO
LALPATHLAB
JKLAKSHMI
EMBDL
HSCL
CHEMPLASTS
DBL
CHENNPETRO
PAGEIND
GRSE
GILLETTE
APARINDS
ITC
RRKABEL
BLUESTARCO
LICHSGFIN
GREENPANEL
MAHABANK
LTIM
SKFINDIA
IONEXCHANG
GAEL
SANDUMA
GSFC
BAJFINANCE
JBMA
VARROC
AGI
CENTRALBK
SUPRAJIT
SBILIFE
LICI
RBLBANK
MANAPPURAM
KSL
CAPLIPOINT
TATAMOTORS
KTKBANK
RATEGAIN
MAXHEALTH
GREAVESCOT
ALKEM
DIXON
MANINFRA
AHLUCONT
CRISIL
CIGNITITEC
ERIS
VGUARD
MARICO
CYIENTDLM
FINPIPE
AWL
CHOICEIN
JKIL
RESPONIND
BHARATFORG
ESCORTS
BEML
MTARTECH
NUVOCO
SHREECEM
MFSL
AUROPHARMA
AARTIDRUGS
JSL
SUNDRMFAST
UJJIVANSFB
SCHNEIDER
THOMASCOOK
MHRIL
INDUSTOWER
CARBORUNIV
MSTCLTD
IPL
JSWSTEEL
JWL
CERA
NETWORK18
NYKAA
NESTLEIND
METROBRAND
JINDWORLD
TATAELXSI
SUPREMEIND
VAIBHAVGBL
GRAPHITE
PAISALO
KSCL
BARBEQUE
HONAUT
TRIVENI
AIAENG
SIGNATURE
HEIDELBERG
PARAS
BANDHANBNK
NESCO
TRENT
DCXINDIA
PATANJALI
HINDUNILVR
LXCHEM
FACT
RHIM
WSTCSTPAPR
SAMMAANCAP
KOLTEPATIL
JINDALSTEL
VTL
ASHOKLEY
MOTILALOFS
HCC
CONFIPET
ATGL
MAITHANALL
DEEPAKFERT
RAIN
BIOCON
RBA
SUZLON
PRICOLLTD
ETHOSLTD
IEX
ELECON
WONDERLA
TATACOMM
DALBHARAT
NAZARA
CREDITACC
UTIAMC
ROSSARI
GLAXO
INGERRAND
KPITTECH
RALLIS
MIDHANI
JUBLPHARMA
INDIGOPNTS
360ONE
TVSSCS
BIRLACORPN
CLEAN
CARERATING
RAINBOW
IOB
RTNPOWER
KSB
TATACONSUM
GPIL
ULTRACEMCO
MAHSEAMLES
DODLA
AUBANK
PNCINFRA
ICICIGI
DLF
SFL
INDIACEM
SUNCLAY
ORIENTELEC
SHYAMMETL
NRBBEARING
STARCEMENT
ZEEL
CUB
BORORENEW
ZENSARTECH
KESORAMIND
JKPAPER
NIACL
FDC
AMBER
TIRUMALCHM
TARC
SCI
ISEC
PRSMJOHNSN
WOCKPHARMA
TV18BRDCST
PARADEEP
SAFARI
ADANIPORTS
KALYANKJIL
POONAWALLA
ISGEC
MAZDOCK
BLUEDART
UNIPARTS
PPLPHARMA
FINCABLES
KRSNAA
GMDCLTD
TIMETECHNO
TATAINVEST
SWANENERGY
MGL
PGEL
KALAMANDIR
TRITURBINE
CGCL
DEN
KOTAKBANK
ENDURANCE
DCMSHRIRAM
BLUEJET
SOBHA
NCC
HIKAL
SHAREINDIA
AEGISLOG
TI
PRINCEPIPE
ASHOKA
LT
CIEINDIA
VOLTAMP
DELHIVERY
OLECTRA
RAMKY
WELENT
NUCLEUS
PDSL
RAYMOND
HEROMOTOCO
SANSERA
TIDEWATER
VSTTILLERS
ORISSAMINE
TANLA
M&MFIN
CGPOWER
NAVNETEDUL
SONACOMS
DMART
LINDEINDIA
HINDWAREAP
FCL
SUNFLAG
ICICIBANK
HDFCBANK
LTFOODS
CHOLAFIN
SANOFI
KRBL
CAMLINFINE
ANURAS
KAJARIACER
ANANDRATHI
SUVENPHAR
FEDFINA
ADANIPOWER
LTTS
HLEGLAS
BSOFT
KNRCON
TITAGARH
CSBBANK
QUESS
CESC
LGBBROSLTD
BHARTIARTL
JBCHEPHARM
HINDOILEXP
GANESHHOUC
IKIO
JTLIND
ALLCARGO
GODFRYPHLP
INDOCO
SAPPHIRE
UTKARSHBNK
ANANTRAJ
RITES
ZOMATO
GUFICBIO
J&KBANK
GALAXYSURF
SUNTECK
RELIGARE
GMMPFAUDLR
BIKAJI
VENKEYS
SYRMA
TARSONS
LUXIND
IIFL
NAM-INDIA
FORTIS
ALKYLAMINE
LAOPALA
VRLLOG
ARVIND
HDFCAMC
CAMPUS
ADANIENSOL
PNBHOUSING
CARTRADE
NH
OBEROIRLTY
AMIORG
MINDACORP
PSPPROJECT
THERMAX
ASTRAZEN
HFCL
HMAAGRO
SHILPAMED
EPIGRAL
RTNINDIA
CCL
CRAFTSMAN
TVSHLTD
INOXWIND
ADVENZYMES
ELGIEQUIP
VBL
DATAPATTNS
GODREJCP
EQUITASBNK
ASAHIINDIA
TTKPRESTIG
AAVAS
POLYMED
UFLEX
UNOMINDA
VIJAYA
RADICO
MARKSANS
MEDPLUS
POWERGRID
ASTRAMICRO
SANGHVIMOV
APOLLOTYRE
IOLCP
TIPSINDLTD
CHOLAHLDNG
3MINDIA
FSL
KPIGREEN
ROUTE
PURVA
MEDANTA
AVANTIFEED
HAPPYFORGE
POLICYBZR
BAJAJHLDNG
JUBLINGREA
DEVYANI
BLS
CYIENT
ORIENTCEM
GODREJPROP
INTELLECT
MANKIND
BSE
UNITDSPR
PVRINOX
MAHLIFE
UNIONBANK
CONCORDBIO
ITI
ADANIGREEN
GLAND
TMB
MASFIN
SUPRIYA
SAREGAMA
EASEMYTRIP
HONASA
PAYTM
JAIBALAJI
DBCORP
GLOBUSSPR
JSWENERGY
ASKAUTOLTD
HOMEFIRST
JSWHL
LODHA
SHOPERSTOP
NAGREEKCAP
EASUNREYRL
TFL
EUROTEXIND
NTL
GTNTEX
ALCHEM
CANDC
TNTELE
GUJRAFFIA
PREMIER
EASTSILK
BSELINFRA
SMPL
EMCO
SETUINFRA
DQE
ONELIFECAP
WSI
LYPSAGEMS
VIVIDHA
ZICOM
SEZAL
GFSTEELS
KARMAENG
TECHNOFAB
SEPOWER
GAYAHWS
SOMATEX
ROHITFERRO
STINDIA
21STCENMGM
NKIND
KHANDSE
VICEROY
MOHOTAIND
EXCEL
PRAKASHSTL
HILTON
INDLMETER
NITINFIRE
MUKANDENGG
ZODJRDMKJ
SPYL
SANCO
JINDALPHOT
VASWANI
JPOLYINVST
DHARSUGAR
GTNIND
ARIHANT
UNITY
NATNLSTEEL
SHAHALLOYS
PATSPINLTD
SCAPDVR
BURNPUR
MANGTIMBER
CCCL
CALSOFT
RKDL
TGBHOTELS
PARABDRUGS
BALKRISHNA
INDSWFTLTD
NIBL
GOLDTECH
BHANDARI
GLOBOFFS
CUBEXTUB
ANKITMETAL
BILENERGY
AGRITECH
MITTAL
JITFINFRA
MIC
AGROPHOS
TIJARIA
KSK
OMKARCHEM
CASTEXTECH
CNOVAPETRO
MAGNUM
PNC
WILLAMAGOR
VARDMNPOLY
TMRVL
SGL
SUPERSPIN
NAGREEKEXP
GOENKA
INDOTHAI
LPDC
